Altium Designer Pick and Place Locations
C:\Users\Elio Fagundez\Documents\GitHub\Iot-GreenHouse-hardware\Altium Files\09.12.2024\Manufacturing\Assembly\Pick Place\IoT_Greenhouse V1.0 A_A_2024-09-12.csv

========================================================================================================================
File Design Information:

Date:       12/09/24
Time:       11:22
Revision:   3d9c718009b522a968df66c122dc8597efde09fb
Variant:    Base Variant
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C11","GMK107BJ105KA-T","TopLayer","CAP_0603_CAPC1608X08N","84.1248","15.4432","180","Multilayer Ceramic Capacitors (High dielectric type), 35V, 1 uF, ± 10 %, 0603, X5R, RoHS"
"C12","CL10B104KO8NNNC","TopLayer","CAP_0603_CAPC1608X08N","92.9386","23.9268","90","Ceramic capacitor SMD-0603 100nF /16V X7R# K +-10%, Samsung, RoHS"
"C13","CL10B104KO8NNNC","TopLayer","CAP_0603_CAPC1608X08N","108.6612","23.6728","90","Ceramic capacitor SMD-0603 100nF /16V X7R# K +-10%, Samsung, RoHS"
"C14","CL10B104KO8NNNC","TopLayer","CAP_0603_CAPC1608X08N","83.0326","23.9014","90","Ceramic capacitor SMD-0603 100nF /16V X7R# K +-10%, Samsung, RoHS"
"C15","GMK107BJ105KA-T","TopLayer","CAP_0603_CAPC1608X08N","118.0084","15.5194","180","Multilayer Ceramic Capacitors (High dielectric type), 35V, 1 uF, ± 10 %, 0603, X5R, RoHS"
"C16","CL10B104KO8NNNC","TopLayer","CAP_0603_CAPC1608X08N","119.1006","23.7490","90","Ceramic capacitor SMD-0603 100nF /16V X7R# K +-10%, Samsung, RoHS"
"C17","GRM32ER71E226KE15L","TopLayer","CAP_1210_CAPC3225X270N","40.5238","37.9326","270","Multilayer Ceramic Capacitor, 22 uF, 25 V, ± 10%, X7R, 1210 [3225 Metric]"
"C18","GRM155R71H104KE14D","TopLayer","CAP_0402_CAPC1005X05N","38.2886","37.8056","270","Multilayer Ceramic Capacitor, 0.1 uF, 16 V, ± 10%, X7R, 0402 [1005 Metric]"
"C19","GRM188R61E106MA73D","TopLayer","CAP_0603_CAPC1608X08N","43.1654","37.2976","270","Multilayer Ceramic Capacitor, 10 uF, 25 V, ± 20%, X5R, 0603 [1608 Metric]"
"C20","GRM155R71H104KE14D","TopLayer","CAP_0402_CAPC1005X05N","44.4608","37.2976","270","Multilayer Ceramic Capacitor, 0.1 uF, 16 V, ± 10%, X7R, 0402 [1005 Metric]"
"C21","GRM188R61E106MA73D","TopLayer","CAP_0603_CAPC1608X08N","48.8188","37.6024","270","Multilayer Ceramic Capacitor, 10 uF, 25 V, ± 20%, X5R, 0603 [1608 Metric]"
"C22","GRM155R71H104KE14D","TopLayer","CAP_0402_CAPC1005X05N","50.1142","37.5770","270","Multilayer Ceramic Capacitor, 0.1 uF, 16 V, ± 10%, X7R, 0402 [1005 Metric]"
"C23","GRM155R71H104KE14D","TopLayer","CAP_0402_CAPC1005X05N","52.7050","37.5516","270","Multilayer Ceramic Capacitor, 0.1 uF, 16 V, ± 10%, X7R, 0402 [1005 Metric]"
"C24","GRM188R61E106MA73D","TopLayer","CAP_0603_CAPC1608X08N","51.4350","37.5516","270","Multilayer Ceramic Capacitor, 10 uF, 25 V, ± 20%, X5R, 0603 [1608 Metric]"
"C26","GRM155R71H104KE14D","TopLayer","CAP_0402_CAPC1005X05N","76.2508","16.4084","90","Multilayer Ceramic Capacitor, 0.1 uF, 16 V, ± 10%, X7R, 0402 [1005 Metric]"
"C27","GRM155R71H104KE14D","TopLayer","CAP_0402_CAPC1005X05N","23.7236","10.5410","0","Multilayer Ceramic Capacitor, 0.1 uF, 16 V, ± 10%, X7R, 0402 [1005 Metric]"
"C28","GRM155R71H104KE14D","TopLayer","CAP_0402_CAPC1005X05N","64.7954","16.9672","90","Multilayer Ceramic Capacitor, 0.1 uF, 16 V, ± 10%, X7R, 0402 [1005 Metric]"
"C29","GRM155R71H104KE14D","TopLayer","CAP_0402_CAPC1005X05N","9.7282","10.5410","0","Multilayer Ceramic Capacitor, 0.1 uF, 16 V, ± 10%, X7R, 0402 [1005 Metric]"
"D1","1N5819HW-7-F","TopLayer","DIO_SOD3716X145N","32.4104","67.4624","90","Rectifier Diode, Schottky, 1 Phase, 1 Element, 1A, 40V V(RRM), Silicon"
"D2","PESD5V0S1BB,115","TopLayer","DIO_TVS_SODFL1608X65N","29.6926","70.3580","180","ESD Suppressor Diode TVS Bi-Dir 5V Automotive 2-Pin SOD-523 T/R / TVS DIODE 5VWM 14VC SOD523"
"D3","PESD5V0S1BB,115","TopLayer","DIO_TVS_SODFL1608X65N","27.3558","70.3580","0","ESD Suppressor Diode TVS Bi-Dir 5V Automotive 2-Pin SOD-523 T/R / TVS DIODE 5VWM 14VC SOD523"
"D4","PESD5V0S1BB,115","TopLayer","DIO_TVS_SODFL1608X65N","33.2486","70.5866","180","ESD Suppressor Diode TVS Bi-Dir 5V Automotive 2-Pin SOD-523 T/R / TVS DIODE 5VWM 14VC SOD523"
"D5","LTST-C193TBKT-5A","TopLayer","LED_0603-BLUE-0.75mm","38.5826","77.1524","90","LED Uni-Color Blue 468nm 2-Pin Chip LED T/R"
"D6","PMEG100V060ELPDZ","TopLayer","DIO_SCKTY_PMEG060V100EPDAZ","94.8482","18.8450","270","DIODESCHOTTKY100V6ACFP15"
"D7","PMEG100V060ELPDZ","TopLayer","DIO_SCKTY_PMEG060V100EPDAZ","108.7674","18.8450","270","DIODESCHOTTKY100V6ACFP15"
"D8","PMEG100V060ELPDZ","TopLayer","DIO_SCKTY_PMEG060V100EPDAZ","84.9930","18.8450","270","DIODESCHOTTKY100V6ACFP15"
"D9","PMEG100V060ELPDZ","TopLayer","DIO_SCKTY_PMEG060V100EPDAZ","118.7496","18.8704","270","DIODESCHOTTKY100V6ACFP15"
"D10","SS34-E3/9AT","TopLayer","DIO_Vishay_SMC_MFG","102.0826","65.7352","0","Rectifier Diode, schottky, 40V V(Rrm), do-214Ab / Smc"
"D11","SS34-E3/9AT","TopLayer","DIO_Vishay_SMC_MFG","13.5636","61.4934","180","Rectifier Diode, schottky, 40V V(Rrm), do-214Ab / Smc"
"D12","SS34-E3/9AT","TopLayer","DIO_Vishay_SMC_MFG","114.6810","65.6336","0","Rectifier Diode, schottky, 40V V(Rrm), do-214Ab / Smc"
"D13","LTST-C190KRKT","TopLayer","LED_0603-RED-0.75mm","79.5020","76.9366","90","LED,  LTST-C190KRKT"
"H1","Mounting Hole","TopLayer","PTH_3.2X5","4.0000","4.0000","0","Mounting Hole, Plated"
"H2","Mounting Hole","TopLayer","PTH_3.2X5","126.0000","4.0000","0","Mounting Hole, Plated"
"H3","Mounting Hole","TopLayer","PTH_3.2X5","126.0000","76.0000","0","Mounting Hole, Plated"
"H4","Mounting Hole","TopLayer","PTH_3.2X5","4.0000","76.0000","0","Mounting Hole, Plated"
"J1","TYPE-C 16PIN 2MD(073)","TopLayer","CONN_USB_C_16P","28.0000","75.6250","180","5A 1 Surface Mount 16P Female -25?~+85? Type-C SMD USB Connectors ROHS"
"J2","PEC15SFAN","TopLayer","HEADER_MALE_15P","127.5000","40.0000","270","CONN HEADER .100 SINGL STR 15POS"
"J3","PEC15SFAN","TopLayer","HEADER_MALE_15P","2.5000","40.0000","270","CONN HEADER .100 SINGL STR 15POS"
"J4","1-2834011-2","TopLayer","CONN_TBLOCK_128340112","95.0000","8.0000","0","2POS3.5MMTOPENTRYSCREWLESSC"
"J5","1-2834011-2","TopLayer","CONN_TBLOCK_128340112","105.0000","8.0000","0","2POS3.5MMTOPENTRYSCREWLESSC"
"J6","1-2834011-2","TopLayer","CONN_TBLOCK_128340112","85.0000","8.0000","0","2POS3.5MMTOPENTRYSCREWLESSC"
"J7","PPTC141LFBN-RC","TopLayer","CONN_HEADER_RHDR14W80P0X254_1X14_3606X254X850P","28.4100","40.0000","270","PPTC Series 14 Position 2.54 mm Single Row Through Hole Pin Header"
"J8","1-2834011-2","TopLayer","CONN_TBLOCK_128340112","115.0000","8.0000","0","2POS3.5MMTOPENTRYSCREWLESSC"
"J9","PM254V-11-04-H85","TopLayer","CONN_HEADER_FEM_4P","101.5900","40.0000","270","2.54mm Plugin 4P Brass Straight 1x4P Plugin,P=2.54mm  Female Headers ROHS"
"J10","282837-2","TopLayer","CONN_TBLOCK_2P_\2828372","102.4772","75.5342","0","Connector, Terminal Block; Wire Receptacle; 2 Pos.; 16-30 AWG; 0.2 in. CL; Side;"
"J11","282837-2","TopLayer","CONN_TBLOCK_2P_\2828372","114.4772","75.5342","0","Connector, Terminal Block; Wire Receptacle; 2 Pos.; 16-30 AWG; 0.2 in. CL; Side;"
"J12","PJ-202AH","TopLayer","CONN_CUI_PJ-202AH","11.4000","69.7500","90","2.0 x 6.5 mm, 5.0 A, Horizontal, Through Hole, Kinked Pins, Dc Power Jack Connector"
"J13","S5B-PH-SM4-TB(LF)(SN)","TopLayer","CONN_JST_S5B-PH-SM4-TB_LF_SN_0","30.0000","5.0750","0","Conn Shrouded Header (4 Sides) HDR 5 POS 2mm Solder RA SMD T/R"
"J14","SM03B-PASS-TBT","TopLayer","CONN_JST_SM03B-PASS-TBT_LF_SN_MFG","44.0000","7.4750","180","Conn Header SMD R/a 3POS 2MM"
"J15","SM03B-PASS-TBT","TopLayer","CONN_JST_SM03B-PASS-TBT_LF_SN_MFG","68.0000","7.4750","180","Conn Header SMD R/a 3POS 2MM"
"J16","S4B-PH-SM4-TB(LF)(SN","TopLayer","CONN_JST_S4B-PH-SM4-TB_LF_SN_0","15.0000","5.0750","180","1x4P PH 1 Tin 2mm 4 -25?~+85? 2A Copper Alloy Surface Mount SMD,P=2mm Wire To Board / Wire To Wire Connector ROHS"
"J17","SM03B-PASS-TBT","TopLayer","CONN_JST_SM03B-PASS-TBT_LF_SN_MFG","56.0000","7.4750","180","Conn Header SMD R/a 3POS 2MM"
"Q1","BC847BDW1T1G","TopLayer","TRANS_BJT_SOT65P210X110-6N","62.1538","47.4726","180","ON Semi BC847BDW1T1G Dual NPN Bipolar Transistor; 0.1 A; 45 V; 6-Pin SC-88"
"Q3","DMG6968U-7","TopLayer","SOT_23_3_MMBT2907A-13","111.3536","23.4696","0","Trans Mosfet N-ch 20V 6.5A 3-PIN SOT-23 T/r Trans Mosfet N-ch 20V 6.5A 3-PIN SOT-23 T/r"
"Q4","DMG6968U-7","TopLayer","SOT_23_3_MMBT2907A-13","85.7758","23.7236","0","Trans Mosfet N-ch 20V 6.5A 3-PIN SOT-23 T/r Trans Mosfet N-ch 20V 6.5A 3-PIN SOT-23 T/r"
"Q5","DMG6968U-7","TopLayer","SOT_23_3_MMBT2907A-13","121.7676","23.5712","0","Trans Mosfet N-ch 20V 6.5A 3-PIN SOT-23 T/r Trans Mosfet N-ch 20V 6.5A 3-PIN SOT-23 T/r"
"Q6","DMG6968U-7","TopLayer","SOT_23_3_MMBT2907A-13","95.6310","23.7490","0","Trans Mosfet N-ch 20V 6.5A 3-PIN SOT-23 T/r Trans Mosfet N-ch 20V 6.5A 3-PIN SOT-23 T/r"
"R1","RC0603FR-070RL","TopLayer","RES_0603_RESC1608X04N","70.8754","48.2934","270","RC Series 0603 0.1 W 0 Ohm Jumper Surface Mount Thick Film Chip Resistor"
"R3","AC0603FR-1010KL","TopLayer","RES_0603_RESC1608X04N","62.1412","44.8818","0","Chip Resistor Automotive Grade Thick Film 0603 10kOhm 1% Paper T/R"
"R4","AC0603FR-1010KL","TopLayer","RES_0603_RESC1608X04N","62.2046","49.8348","180","Chip Resistor Automotive Grade Thick Film 0603 10kOhm 1% Paper T/R"
"R5","RC0603FR-075K1L","TopLayer","RES_0603_RESC1608X04N","21.7170","73.8886","270","SMD Chip Resistor, 5.1 kOhm, ± 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose"
"R6","RC0603FR-075K1L","TopLayer","RES_0603_RESC1608X04N","34.2646","73.8886","270","SMD Chip Resistor, 5.1 kOhm, ± 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose"
"R7","RC0603FR-074K7L","TopLayer","RES_0603_RESC1608X04N","50.0000","64.5000","180","Res Thick Film 0603 4.7K Ohm 1% 1/10W ±100ppm/°C Molded SMD Paper T/R"
"R8","AC0603FR-1010KL","TopLayer","RES_0603_RESC1608X04N","72.1962","36.6348","270","Chip Resistor Automotive Grade Thick Film 0603 10kOhm 1% Paper T/R"
"R9","RC0603FR-0722K1L","TopLayer","RES_0603_RESC1608X04N","64.1190","37.3460","0","SMD Chip Resistor, 22.1 kOhm, ± 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose"
"R10","AC0603FR-101KL","TopLayer","RES_0603_RESC1608X04N","70.5960","36.6348","270","Chip Resistor Automotive Grade Thick Film 0603 1kOhm 1% Paper T/R"
"R11","AC0603FR-0747K5L","TopLayer","RES_0603_RESC1608X04N","66.4558","36.5840","90","SMD Chip Resistor, 47.5 kOhm, ± 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose"
"R12","ERJ3EKF1000V","TopLayer","CAP_0603_CAPC1608X08N","38.6080","74.0156","90","Res Thick Film 0603 100 Ohm 1% 1/10W ±100ppm/°C Molded SMD Punched Carrier T/R"
"R13","AC0603FR-1010KL","TopLayer","RES_0603_RESC1608X04N","51.0540","70.2056","270","Chip Resistor Automotive Grade Thick Film 0603 10kOhm 1% Paper T/R"
"R14","AC0603FR-1010KL","TopLayer","RES_0603_RESC1608X04N","50.0000","60.7500","0","Chip Resistor Automotive Grade Thick Film 0603 10kOhm 1% Paper T/R"
"R15","RC0603JR-0710RL","TopLayer","RES_0603_RESC1608X04N","89.7128","25.5142","270","SMD Chip Resistor, 10 Ohm, ± 5%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose"
"R16","RC0603JR-0710RL","TopLayer","RES_0603_RESC1608X04N","105.4862","25.2476","270","SMD Chip Resistor, 10 Ohm, ± 5%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose"
"R17","RC0603JR-0710RL","TopLayer","RES_0603_RESC1608X04N","79.8068","25.5016","270","SMD Chip Resistor, 10 Ohm, ± 5%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose"
"R18","RC0603FR-07100KL","TopLayer","RES_0603_RESC1608X04N","91.3130","23.9268","90","RES SMD 100K OHM 1% 1/10W 0603"
"R19","RC0603FR-07100KL","TopLayer","RES_0603_RESC1608X04N","107.0864","23.6728","90","RES SMD 100K OHM 1% 1/10W 0603"
"R20","RC0603FR-07100KL","TopLayer","RES_0603_RESC1608X04N","81.4070","23.8760","90","RES SMD 100K OHM 1% 1/10W 0603"
"R21","RC0603JR-0710RL","TopLayer","RES_0603_RESC1608X04N","115.8748","25.3492","270","SMD Chip Resistor, 10 Ohm, ± 5%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose"
"R22","RC0603FR-07100KL","TopLayer","RES_0603_RESC1608X04N","117.5004","23.7490","90","RES SMD 100K OHM 1% 1/10W 0603"
"R23","RC0603JR-07130RL","TopLayer","RES_0603_RESC1608X04N","79.5020","73.8378","90","Res Thick Film 0603 130 Ohm 5% 1/10W ±100ppm/°C Molded SMD SMD Paper T/R"
"R24","RC0603FR-074K7L","TopLayer","RES_0603_RESC1608X04N","50.0000","65.9638","180","Res Thick Film 0603 4.7K Ohm 1% 1/10W ±100ppm/°C Molded SMD Paper T/R"
"R25","RC0603FR-070RL","TopLayer","RES_0603_RESC1608X04N","65.1764","48.9458","270","RC Series 0603 0.1 W 0 Ohm Jumper Surface Mount Thick Film Chip Resistor"
"R26","RC0603FR-070RL","TopLayer","RES_0603_RESC1608X04N","58.7248","48.7680","270","RC Series 0603 0.1 W 0 Ohm Jumper Surface Mount Thick Film Chip Resistor"
"S1","PTS526SK15SMTR2LFS","TopLayer","SWT_NO_PTS526SK15SMTR2LFS","85.8054","76.0504","90","Switch Tactile N.O. SPST Round Button Gull Wing 0.05A 12VDC 200000Cycles 2.55N SMD T/R"
"S2","PTS526SK15SMTR2LFS","TopLayer","SWT_NO_PTS526SK15SMTR2LFS","44.1960","75.8698","90","Switch Tactile N.O. SPST Round Button Gull Wing 0.05A 12VDC 200000Cycles 2.55N SMD T/R"
"U1","CP2102N-A02-GQFN28R","TopLayer","IC_BRIDGE_UART_QFN50P500X500X80-29N-D","71.9168","42.9594","0","Full Speed USB to UART Bridge USB 2.0 3.3V T/R Automotive 28-Pin QFN EP"
"U2","ESP32-C6-WROOM-1-N4","TopLayer","IC_MODULE_ESP32C6WROOM1N4","65.0000","64.0050","0","ESP32-C6-WROOM-1-N4 Engineering Module - 4 MB Quad SPI Flash"
"U4","AZ1117IH-5.0TRG1","TopLayer","IC_REG_SOT230P700X180-4N","42.6828","30.8460","270","LDO Regulator Pos 5V 1A 3-Pin SOT-223 T/R"
"U5","AP2114H-3.3TRG1","TopLayer","IC_REG_SOT230P700X180-4N","51.1302","31.0746","270","IC REG LDO 3.3V 1A SOT223"
"U7","TLV2371IDBVT","TopLayer","IC_AMP_OP_SOT95P280X145-5N","73.5076","16.5608","0","Single 550-uA/channel, 3MHz, RRIO op amp 5-SOT-23 -40 to 125"
"U8","TLV2371IDBVT","TopLayer","IC_AMP_OP_SOT95P280X145-5N","62.0522","16.5100","0","Single 550-uA/channel, 3MHz, RRIO op amp 5-SOT-23 -40 to 125"
